"asn","match_name","organization","comment"
"17421","src_asn_isp_","Mobile Business Group",""
"17465","src_asn_isp_","Asianet Satellite Communications Ltd",""
"17469","src_asn_isp_","Access Telecom",""
"17470","src_asn_isp_","Etisalat Lanka",""
"17477","src_asn_isp_","Macquarie Telecom",""
"17483","src_asn_isp_","City Online services Limited",""
"17494","src_asn_isp_","Bangladesh Telecommunications",""
"17501","src_asn_isp_","Worldlink Communications",""
"17554","src_asn_isp_","CITIC-HK-AP",""
"17557","src_asn_isp_","PTCL",""
"17621","src_asn_isp_","China Unicom Shanghai Network",""
"17623","src_asn_isp_","China Unicom Shenzen network",""
"17709","src_asn_isp_","FarEasTone Telecom",""
"17726","src_asn_isp_","Telecom Cambodia",""
"17771","src_asn_isp_","Southern Online Bio Technologies Limited",""
"17806","src_asn_isp_","Mango Teleservices Limited",""
"17813","src_asn_isp_","Mahanagar Telephone Nigam Limited",""
"17853","src_asn_isp_","LGTELECOM",""
"17885","src_asn_isp_","XLSmart AS17885",""
"17911","src_asn_isp_","Brain Telecommunication",""
"17917","src_asn_isp_","Quadrant Televentures",""
"17924","src_asn_isp_","SmarTone Mobile Communications",""
"17936","src_asn_isp_","Cable  Television  Kani Co.Inc.",""
"17968","src_asn_isp_","Daqing zhongji petroleum telecommunication construction limited cpmpany",""
"18004","src_asn_isp_","SMARTFREN TELECOM Tbk",""
"18024","src_asn_isp_","BT ACCESS",""
"18025","src_asn_isp_","BT DC",""
"18042","src_asn_isp_","Koos Broadband Telecom",""
"18092","src_asn_isp_","Q-shu Tele Communications",""
"18126","src_asn_isp_","Chubu Telecommunications Co.Inc. (ctc)",""
"18187","src_asn_isp_","Source Telecoms",""
"18199","src_asn_isp_","Link Telecom (NZ) Limited",""
"18209","src_asn_isp_","Atria Convergence Technologies",""
"18214","src_asn_isp_","Telus International",""
"18233","src_asn_isp_","PT&T",""
"18302","src_asn_isp_","SK Telecom",""
"18390","src_asn_isp_","Spin Internet Services",""
"18399","src_asn_isp_","Yatanarpon Teleport ASN 18399",""
"18403","src_asn_isp_","FPT Telecom",""
"18490","src_asn_isp_","VIRTELA-NET-VTXDAL1",""
"18491","src_asn_isp_","VIRTELA-NET-VILCHI1",""
"18734","src_asn_isp_","Bestel",""
"18780","src_asn_isp_","Reservation Telephone Coop.",""
